bundesland; plz; ort; inbetriebnahmedatum; bruttoleistung; nettonennleistung; 
1403;90530;Wendelstein;2025-09-11;1.760;0.800
1415;04626;Posterstein;2025-09-11;17.400;17.400
1402;76646;Bruchsal;2025-09-15;6.830;6.830
1409;53111;Bonn;2025-07-01;25.500;25.500
1403;86609;Donauwörth;2025-09-15;16.720;15.000
1409;45279;Essen;--- NIX ---;20.010;20.000
1409;45481;Mülheim;2025-09-13;0.760;0.600
1411;23617;Stockelsdorf;2025-08-11;0.800;0.800
1409;52531;Übach-Palenberg;2025-08-10;2.000;0.800
1401;12169;Berlin;2025-08-15;7.280;6.000
1402;89155;Erbach;2025-09-04;9.450;7.900
1409;33829;Borgholzhausen;2025-09-08;1.710;0.800
1409;41836;Hückelhoven;2025-08-01;7.440;6.000
1403;90537;Feucht;2009-03-27;4.830;4.600
1402;72622;Nürtingen;2025-07-31;6.370;6.370
1403;93077;Bad Abbach;2025-08-20;2.400;2.400
1403;86368;Gersthofen;2025-09-13;2.000;0.800
1414;06536;Südharz;2025-08-05;7.200;7.200
1402;69469;Weinheim;--- NIX ---;16.200;16.200
1409;45141;Essen;2025-08-07;192.270;161.300
1402;89547;Gerstetten;2025-09-13;2.000;0.800
1402;79589;Binzen;2025-09-15;4.150;4.150
1403;97072;Würzburg;2025-09-15;1.000;0.800
1402;89542;Herbrechtingen;2025-08-20;2.000;0.800
1415;96528;Frankenblick;2025-09-07;3.000;3.000
1408;38228;Salzgitter;2025-09-15;1.720;0.800
1409;45481;Mülheim;2025-09-13;0.780;0.600
1415;99518;Bad Sulza;2025-09-04;20.460;20.000
1408;29699;Walsrode;2025-08-23;195.800;166.500
1409;45701;Herten;2025-09-11;3.600;3.000
1413;04178;Leipzig;2025-08-29;7.200;7.000
1411;23730;Neustadt;--- NIX ---;187.000;187.000
1402;77656;Offenburg;2025-01-22;10.200;10.000
1402;73104;Börtlingen;2025-09-01;16.020;10.000
1410;54568;Gerolstein;2025-09-01;0.600;0.600
1409;45701;Herten;2025-09-08;1.600;0.800
1409;48167;Münster;2025-09-15;13.950;13.950
1403;85305;Jetzendorf;2025-08-04;13.500;13.500
1409;48683;Ahaus;2025-08-07;13.640;13.640
1403;83607;Holzkirchen;--- NIX ---;28.220;25.000
1402;74889;Sinsheim;2025-08-30;0.800;0.800
1402;74348;Lauffen;2025-09-12;5.460;5.460
